Id,Category
0,tags_19
1,tags_19
2,tags_19
3,tags_19
4,tags_19
5,tags_19
6,tags_26
7,tags_26
8,tags_19
9,tags_14
10,tags_11
11,tags_19
12,tags_27
13,tags_14
14,tags_19
15,tags_20
16,tags_19
17,tags_19
18,tags_19
19,tags_19
20,tags_19
21,tags_3
22,tags_20
23,tags_19
24,tags_22
25,tags_6
26,tags_25
27,tags_19
28,tags_19
29,tags_14
30,tags_19
31,tags_19
32,tags_19
33,tags_22
34,tags_26
35,tags_19
36,tags_14
37,tags_16
38,tags_19
39,tags_19
40,tags_20
41,tags_19
42,tags_19
43,tags_19
44,tags_20
45,tags_22
46,tags_20
47,tags_19
48,tags_20
49,tags_19
50,tags_19
51,tags_19
52,tags_19
53,tags_20
54,tags_19
55,tags_19
56,tags_26
57,tags_19
58,tags_8
59,tags_19
60,tags_19
61,tags_14
62,tags_19
63,tags_20
64,tags_16
65,tags_17
66,tags_19
67,tags_19
68,tags_14
69,tags_6
70,tags_26
71,tags_14
72,tags_19
73,tags_24
74,tags_19
75,tags_19
76,tags_19
77,tags_19
78,tags_26
79,tags_12
80,tags_26
81,tags_19
82,tags_15
83,tags_19
84,tags_19
85,tags_19
86,tags_27
87,tags_19
88,tags_3
89,tags_19
90,tags_19
91,tags_20
92,tags_19
93,tags_26
94,tags_27
95,tags_26
96,tags_12
97,tags_26
98,tags_19
99,tags_5
100,tags_19
101,tags_22
102,tags_16
103,tags_19
104,tags_26
105,tags_5
106,tags_14
107,tags_19
108,tags_24
109,tags_19
110,tags_3
111,tags_19
112,tags_22
113,tags_20
114,tags_17
115,tags_3
116,tags_13
117,tags_19
118,tags_19
119,tags_22
120,tags_19
121,tags_11
122,tags_19
123,tags_19
124,tags_25
125,tags_19
126,tags_22
127,tags_19
128,tags_6
129,tags_16
130,tags_19
131,tags_20
132,tags_20
133,tags_19
134,tags_22
135,tags_19
136,tags_19
137,tags_19
138,tags_19
139,tags_26
140,tags_16
141,tags_19
142,tags_14
143,tags_14
144,tags_20
145,tags_26
146,tags_6
147,tags_19
148,tags_14
149,tags_20
150,tags_0
151,tags_19
152,tags_19
153,tags_19
154,tags_14
155,tags_20
156,tags_19
157,tags_19
158,tags_19
159,tags_12
160,tags_19
161,tags_22
162,tags_19
163,tags_19
164,tags_26
165,tags_19
166,tags_14
167,tags_14
168,tags_19
169,tags_19
170,tags_19
171,tags_19
172,tags_19
173,tags_26
174,tags_19
175,tags_19
176,tags_14
177,tags_26
178,tags_19
179,tags_3
180,tags_18
181,tags_3
182,tags_19
183,tags_19
184,tags_19
185,tags_13
186,tags_19
187,tags_6
188,tags_19
189,tags_27
190,tags_19
191,tags_11
192,tags_14
193,tags_3
194,tags_14
195,tags_6
196,tags_20
197,tags_3
198,tags_14
199,tags_16
200,tags_19
201,tags_20
202,tags_19
203,tags_11
204,tags_19
205,tags_19
206,tags_19
207,tags_20
208,tags_19
209,tags_15
210,tags_19
211,tags_19
212,tags_19
213,tags_8
214,tags_19
215,tags_8
216,tags_19
217,tags_20
218,tags_16
219,tags_19
220,tags_16
221,tags_19
222,tags_14
223,tags_27
224,tags_19
225,tags_22
226,tags_19
227,tags_16
228,tags_19
229,tags_18
230,tags_6
231,tags_6
232,tags_20
233,tags_19
234,tags_16
235,tags_11
236,tags_19
237,tags_17
238,tags_12
239,tags_20
240,tags_20
241,tags_18
242,tags_20
243,tags_14
244,tags_19
245,tags_14
246,tags_20
247,tags_19
248,tags_20
249,tags_19
250,tags_12
251,tags_19
252,tags_19
253,tags_19
254,tags_6
255,tags_6
256,tags_19
257,tags_19
258,tags_19
259,tags_14
260,tags_19
261,tags_25
262,tags_8
263,tags_26
264,tags_19
265,tags_19
266,tags_19
267,tags_19
268,tags_26
269,tags_6
270,tags_6
271,tags_26
272,tags_16
273,tags_19
274,tags_13
275,tags_19
276,tags_19
277,tags_19
278,tags_22
279,tags_5
280,tags_6
281,tags_22
282,tags_19
283,tags_19
284,tags_12
285,tags_19
286,tags_27
287,tags_19
288,tags_19
289,tags_16
290,tags_6
291,tags_19
292,tags_19
293,tags_20
294,tags_20
295,tags_25
296,tags_19
297,tags_9
298,tags_8
299,tags_15
300,tags_19
301,tags_6
302,tags_19
303,tags_6
304,tags_13
305,tags_22
306,tags_24
307,tags_20
308,tags_6
309,tags_13
310,tags_19
311,tags_26
312,tags_19
313,tags_20
314,tags_1
315,tags_6
316,tags_19
317,tags_26
318,tags_19
319,tags_6
320,tags_22
321,tags_19
322,tags_19
323,tags_19
324,tags_20
325,tags_19
326,tags_19
327,tags_19
328,tags_19
329,tags_1
330,tags_19
331,tags_19
332,tags_11
333,tags_19
334,tags_19
335,tags_19
336,tags_24
337,tags_19
338,tags_24
339,tags_19
340,tags_15
341,tags_18
342,tags_19
343,tags_8
344,tags_25
345,tags_6
346,tags_14
347,tags_19
348,tags_19
349,tags_20
350,tags_26
351,tags_26
352,tags_24
353,tags_19
354,tags_19
355,tags_19
356,tags_26
357,tags_19
358,tags_19
359,tags_3
360,tags_18
361,tags_19
362,tags_19
363,tags_19
364,tags_19
365,tags_19
366,tags_19
367,tags_19
368,tags_19
369,tags_25
370,tags_14
371,tags_26
372,tags_16
373,tags_14
374,tags_19
375,tags_19
376,tags_19
377,tags_19
378,tags_19
379,tags_24
380,tags_19
381,tags_19
382,tags_26
383,tags_16
384,tags_11
385,tags_19
386,tags_19
387,tags_18
388,tags_20
389,tags_26
390,tags_20
391,tags_15
392,tags_20
393,tags_26
394,tags_19
395,tags_19
396,tags_20
397,tags_19
398,tags_19
399,tags_19
400,tags_6
401,tags_19
402,tags_19
403,tags_19
404,tags_19
405,tags_20
406,tags_20
407,tags_6
408,tags_20
409,tags_19
410,tags_19
411,tags_14
412,tags_11
413,tags_11
414,tags_27
415,tags_19
416,tags_19
417,tags_19
418,tags_11
419,tags_19
420,tags_22
421,tags_19
422,tags_19
423,tags_19
424,tags_17
425,tags_19
426,tags_14
427,tags_18
428,tags_19
429,tags_19
430,tags_19
431,tags_19
432,tags_19
433,tags_8
434,tags_18
435,tags_13
436,tags_19
437,tags_19
438,tags_19
439,tags_19
440,tags_19
441,tags_20
442,tags_19
443,tags_14
444,tags_19
445,tags_3
446,tags_8
447,tags_19
448,tags_26
449,tags_6
450,tags_22
451,tags_19
452,tags_19
453,tags_11
454,tags_3
455,tags_19
456,tags_19
457,tags_26
458,tags_26
459,tags_20
460,tags_4
461,tags_6
462,tags_19
463,tags_19
464,tags_26
465,tags_19
466,tags_19
467,tags_19
468,tags_6
469,tags_11
470,tags_8
471,tags_11
472,tags_19
473,tags_26
474,tags_19
475,tags_19
476,tags_6
477,tags_19
478,tags_6
479,tags_20
480,tags_19
481,tags_6
482,tags_9
483,tags_20
484,tags_19
485,tags_20
486,tags_6
487,tags_19
488,tags_26
489,tags_19
490,tags_19
491,tags_24
492,tags_19
493,tags_6
494,tags_11
495,tags_19
496,tags_22
497,tags_11
498,tags_19
499,tags_15
500,tags_19
501,tags_20
502,tags_19
503,tags_16
504,tags_19
505,tags_19
506,tags_6
507,tags_19
508,tags_14
509,tags_11
510,tags_19
511,tags_24
512,tags_19
513,tags_19
514,tags_26
515,tags_20
516,tags_19
517,tags_20
518,tags_19
519,tags_14
520,tags_19
521,tags_6
522,tags_16
523,tags_19
524,tags_6
525,tags_26
526,tags_19
527,tags_20
528,tags_19
529,tags_22
530,tags_19
531,tags_24
532,tags_19
